user_id,country,device,geo_zone,avg_session_min,sessions_last_30d,days_since_last_login,customer_support_tickets,monthly_fee,churned
U700068,CH,android,zone_181,30.01,6,5,1,26.88,0
U700069,ES,ios,zone_072,7.14,11,8,1,10.74,0
U700070,IT,android,zone_163,11.77,8,7,0,19.51,0
U700071,ES,web,zone_039,15.32,17,9,3,15.01,0
U700072,ES,ios,zone_111,13.01,8,8,2,22.03,0
U700073,FR,ios,zone_173,2.45,7,5,0,16.21,0
U700074,ES,android,zone_098,47.15,10,4,0,17.58,0
U700075,CH,web,zone_121,46.74,7,12,0,23.77,0
U700076,FR,ios,zone_098,26.83,5,11,2,7.33,0
U700077,IT,android,zone_034,15.87,12,10,1,20.76,0
U700078,FR,ios,zone_002,6.33,9,10,2,17.17,0
U700079,DE,android,zone_012,25.54,10,10,0,17.36,0
U700080,BE,web,zone_097,16.23,11,9,1,20.54,0
U700081,FR,ios,zone_214,12.14,7,10,1,18.35,0
U700082,IT,android,zone_136,17.42,5,10,2,23.41,0
U700083,FR,android,zone_137,8.82,9,10,2,24.53,0
U700084,FR,android,zone_030,11.7,14,6,1,17.83,0
U700085,IT,web,zone_001,36.05,6,8,1,19.2,0
U700086,FR,web,zone_121,15.38,12,8,1,15.41,1
U700087,FR,android,zone_059,10.68,5,7,1,18.22,0
U700088,FR,web,zone_027,23.59,8,7,0,3.94,0
U700089,FR,ios,zone_145,7.82,8,3,1,21.1,0
U700090,ES,ios,zone_152,23.95,13,9,1,24.41,0
U700091,FR,android,zone_190,16.11,6,6,0,25.86,0
U700092,FR,android,zone_058,8.24,9,7,2,17.99,0
U700093,IT,android,zone_199,9.19,6,6,0,22.9,0
U700094,ES,ios,zone_048,7.98,11,6,1,36.06,0
U700095,FR,android,zone_140,17.55,8,10,0,20.9,0
U700096,IT,ios,zone_056,12.02,11,7,0,16.2,0
U700097,DE,android,zone_009,5.39,16,9,0,22.73,0
U700098,BE,android,zone_087,4.13,16,4,0,26.2,0
U700099,FR,android,zone_020,35.07,6,7,0,28.98,0
U700100,FR,ios,zone_197,18.5,10,7,0,20.05,0
U700101,BE,android,zone_036,4.01,11,6,0,24.64,0
U700102,FR,android,zone_106,31.05,10,4,0,32.55,0
U700103,IT,ios,zone_071,3.56,7,7,0,22.79,0
U700104,FR,ios,zone_094,4.55,4,11,1,25.05,0
U700105,FR,android,zone_189,6.32,11,13,2,38.11,0
U700106,DE,web,zone_172,6.2,9,9,0,22.85,0
U700107,CH,android,zone_195,33.63,11,10,0,20.4,0
U700108,FR,web,zone_071,26.63,8,6,0,14.98,0
U700109,FR,android,zone_078,5.88,9,4,0,21.63,0
U700110,FR,web,zone_030,13.3,7,10,1,22.58,0
U700111,CH,web,zone_067,8.57,9,8,0,35.81,0
U700112,FR,web,zone_125,3.75,7,7,0,32.27,0
U700113,DE,ios,zone_105,7.06,4,6,0,41.36,0
U700114,FR,ios,zone_090,7.11,9,6,1,12.45,1
U700115,DE,android,zone_062,11.08,9,9,1,8.92,0
U700116,BE,ios,zone_208,9.28,12,8,0,19.94,0
U700117,FR,android,zone_205,14.21,8,15,0,13.89,0
U700118,FR,ios,zone_118,25.4,6,4,1,19.55,0
U700119,BE,android,zone_091,7.89,10,15,1,20.45,0
U700120,FR,android,zone_079,48.0,9,10,0,28.45,0
U700121,FR,android,zone_193,31.4,14,3,1,28.79,0
U700122,ES,android,zone_133,2.82,10,7,0,11.07,0
U700123,FR,android,zone_004,37.94,12,12,1,22.62,0
U700124,CH,android,zone_123,8.18,10,11,0,17.28,0
U700125,FR,ios,zone_055,2.87,9,12,0,19.11,0
U700126,FR,ios,zone_201,25.81,7,5,1,20.79,0
U700127,FR,ios,zone_136,12.25,14,8,1,22.8,0
U700128,DE,ios,zone_087,10.69,9,13,1,22.13,0
U700129,DE,android,zone_176,,14,9,0,23.28,0
U700130,FR,ios,zone_026,32.46,11,7,0,17.62,0
U700131,FR,android,zone_078,12.2,9,3,0,13.11,0
U700132,DE,ios,zone_129,7.69,9,10,0,10.37,0
U700133,FR,android,zone_083,6.76,6,10,1,28.09,0
U700134,FR,ios,zone_095,15.13,12,7,2,25.65,0
U700135,FR,android,zone_160,11.61,16,12,0,25.23,1
U700136,BE,android,zone_019,10.74,12,7,1,24.62,0
U700137,BE,ios,zone_042,16.38,13,9,1,18.41,0
U700138,CH,ios,zone_022,25.83,8,12,0,16.4,0
U700139,ES,web,zone_009,1.22,7,8,0,19.38,0
U700140,FR,ios,zone_148,5.67,8,5,1,26.47,0
U700141,DE,web,zone_031,5.9,4,6,0,21.42,0
U700142,BE,android,zone_024,6.15,6,5,0,22.77,0
U700143,IT,ios,zone_160,21.94,15,5,0,20.24,0
U700144,BE,web,zone_078,6.19,8,2,0,17.28,0
U700145,DE,ios,zone_157,31.82,6,11,0,13.74,0
U700146,FR,android,zone_187,10.74,14,11,3,1.67,0
U700147,FR,ios,zone_030,7.85,4,5,1,27.0,0
U700148,FR,android,zone_028,18.28,8,11,1,17.2,0
U700149,FR,android,zone_036,12.71,11,8,1,15.09,0
U700150,DE,ios,zone_044,13.61,8,9,0,15.58,0
U700151,FR,android,zone_195,1.97,4,7,0,20.81,0
U700152,FR,ios,zone_144,5.73,7,11,0,10.56,0
U700153,FR,ios,zone_168,12.5,12,14,0,6.97,0
U700154,FR,android,zone_140,83.67,7,7,0,19.27,0
U700155,CH,ios,zone_096,10.88,12,9,0,19.09,0
U700156,FR,web,zone_002,13.36,4,10,1,27.18,0
U700157,FR,web,zone_119,24.59,9,11,0,17.91,0
U700158,FR,ios,zone_045,18.89,5,4,1,36.09,0
U700159,IT,android,zone_200,12.81,5,7,0,12.56,0
U700160,FR,android,zone_111,10.36,6,5,0,15.62,0
U700161,FR,ios,zone_053,5.0,4,9,0,28.89,0
U700162,FR,web,zone_119,31.59,9,13,0,18.85,0
U700163,FR,ios,zone_057,12.0,10,5,1,29.56,0
U700164,BE,ios,zone_004,19.59,4,8,2,29.5,0
U700165,FR,web,zone_141,9.53,18,6,0,21.57,0
U700166,FR,ios,zone_159,19.13,12,5,0,15.16,0
U700167,FR,android,zone_087,42.44,13,9,0,25.89,0
U700168,IT,android,zone_160,16.74,5,5,0,9.96,0
U700169,CH,ios,zone_071,8.66,15,7,1,18.14,0
U700170,FR,web,zone_054,15.93,11,6,0,21.12,0
U700171,FR,android,zone_167,7.31,12,10,0,24.46,0
U700172,BE,android,zone_132,24.74,5,9,1,18.25,0
U700173,FR,android,zone_001,21.49,10,8,1,20.48,0
U700174,FR,web,zone_068,15.55,3,6,0,22.2,0
U700175,FR,android,zone_095,14.87,8,16,1,17.88,0
U700176,FR,ios,zone_093,6.61,9,14,0,16.5,0
U700177,FR,android,zone_063,11.18,4,9,0,21.07,0
U700178,FR,android,zone_011,6.23,8,3,0,29.6,0
U700179,BE,web,zone_208,27.3,9,8,0,26.24,0
U700180,DE,web,zone_094,14.41,12,8,2,7.18,0
U700181,BE,web,zone_110,3.72,13,7,1,15.46,0
U700182,DE,android,zone_089,42.54,7,7,0,13.09,0
U700183,BE,android,zone_174,,7,7,1,18.87,0
U700184,BE,android,zone_057,17.35,7,10,1,23.77,0
U700185,IT,web,zone_167,14.51,13,8,1,37.28,0
U700186,ES,ios,zone_151,5.65,2,5,0,29.86,0
U700187,FR,android,zone_185,43.28,7,8,2,24.54,0
U700188,BE,web,zone_219,26.47,6,4,0,9.42,0
U700189,FR,web,zone_025,19.98,10,9,2,14.53,0
U700190,FR,web,zone_154,11.02,9,11,0,22.13,0
U700191,FR,ios,zone_204,7.02,9,8,0,18.24,0
U700192,FR,android,zone_058,13.69,12,6,0,21.1,0
U700193,IT,android,zone_094,39.49,8,8,0,26.8,0
U700194,DE,ios,zone_027,5.26,14,4,1,15.82,0
U700195,CH,ios,zone_041,15.14,7,11,0,19.61,0
U700196,FR,ios,zone_041,10.69,14,9,1,15.8,0
U700197,FR,android,zone_100,12.87,12,9,0,21.08,0
U700198,FR,android,zone_122,5.27,8,8,0,23.98,0
U700199,BE,android,zone_175,10.84,12,6,0,11.23,0
U700200,FR,ios,zone_104,1.58,10,6,0,4.43,0
U700201,FR,android,zone_125,16.11,7,6,1,29.57,0
U700202,ES,android,zone_021,1.72,9,5,0,24.27,0
U700203,FR,android,zone_136,8.8,8,3,1,18.51,0
U700204,ES,web,zone_103,37.8,12,11,1,16.46,0
U700205,IT,web,zone_064,23.42,4,9,3,31.85,0
U700206,FR,ios,zone_047,3.36,15,8,1,29.87,0
U700207,DE,ios,zone_189,25.31,9,10,1,16.73,0
U700208,IT,web,zone_041,16.62,9,10,0,12.21,0
U700209,FR,android,zone_127,6.69,6,7,1,26.42,0
U700210,FR,android,zone_201,4.99,10,10,0,7.99,0
U700211,FR,android,zone_112,13.6,12,6,0,13.44,0
U700212,IT,ios,zone_005,20.03,9,6,1,15.31,0
U700213,CH,android,zone_177,7.98,8,5,2,17.86,0
U700214,FR,ios,zone_122,13.3,12,7,0,21.82,0
U700215,FR,ios,zone_112,26.97,7,13,3,8.74,0
U700216,FR,android,zone_162,13.92,7,10,0,12.68,0
U700217,FR,android,zone_077,11.32,7,7,2,15.81,0
U700218,ES,android,zone_006,16.99,9,10,2,33.44,0
U700219,IT,android,zone_212,,9,5,0,21.86,0
U700220,IT,android,zone_022,3.56,10,12,5,18.25,0
U700221,FR,android,zone_056,13.38,8,10,0,23.06,0
U700222,IT,android,zone_063,6.42,9,9,1,7.45,0
U700223,FR,android,zone_049,5.82,10,9,2,19.19,0
U700224,FR,web,zone_086,9.29,16,10,0,25.13,0
U700225,FR,web,zone_150,8.56,10,8,0,11.51,0
U700226,ES,ios,zone_083,11.71,14,8,0,27.65,0
U700227,FR,android,zone_088,9.56,16,6,0,12.96,0
U700228,FR,ios,zone_169,12.56,7,6,0,21.81,0
U700229,FR,android,zone_031,18.93,16,9,2,22.88,0
U700230,FR,android,zone_113,6.62,8,7,0,18.15,0
U700231,FR,ios,zone_038,6.61,7,9,2,17.59,0
U700232,FR,android,zone_049,26.03,7,6,0,21.51,0
U700233,FR,ios,zone_119,12.82,9,8,0,27.67,0
U700234,FR,ios,zone_147,14.85,8,13,0,27.73,0
U700235,FR,android,zone_188,10.81,9,11,1,21.36,0
U700236,FR,android,zone_113,7.5,13,3,0,15.51,0
U700237,CH,web,zone_219,7.81,7,5,1,20.67,1
U700238,FR,android,zone_181,18.58,7,10,1,15.14,0
U700239,FR,android,zone_173,32.38,5,7,0,7.69,0
U700240,DE,android,zone_066,5.86,10,9,0,12.84,0
U700241,FR,ios,zone_043,15.99,11,9,0,28.6,0
U700242,FR,android,zone_016,20.24,5,6,1,18.9,0
U700243,FR,android,zone_149,20.24,14,7,0,20.5,0
U700244,DE,android,zone_011,13.9,9,8,2,35.36,0
U700245,DE,web,zone_043,14.91,19,5,0,28.93,0
U700246,FR,android,zone_089,33.24,14,9,0,25.67,0
U700247,FR,ios,zone_034,5.28,16,8,0,16.68,0
U700248,FR,ios,zone_052,8.71,9,10,1,21.91,0
U700249,FR,android,zone_037,35.2,11,6,0,27.68,0
U700250,FR,web,zone_047,8.64,10,12,0,23.08,0
U700251,BE,web,zone_035,10.32,12,14,0,23.09,0
U700252,IT,android,zone_119,7.93,9,9,1,19.56,0
U700253,FR,android,zone_014,11.49,7,9,0,35.05,0
U700254,ES,ios,zone_017,9.66,3,2,0,9.14,0
U700255,FR,android,zone_085,6.74,10,12,0,21.57,0
U700256,DE,android,zone_084,7.91,12,6,2,33.35,0
U700257,ES,android,zone_066,33.41,14,11,0,19.95,0
U700258,BE,ios,zone_055,30.41,9,6,1,29.33,0
U700259,DE,android,zone_201,5.98,6,4,1,13.26,0
U700260,ES,ios,zone_173,5.44,17,5,0,8.01,0
U700261,DE,android,zone_189,3.98,7,11,0,11.84,0
U700262,BE,web,zone_155,10.71,6,4,1,12.89,0
U700263,FR,android,zone_050,16.91,9,3,0,21.2,0
U700264,FR,android,zone_092,18.09,7,8,0,36.51,0
U700265,FR,ios,zone_112,27.13,6,10,0,20.75,0
U700266,IT,web,zone_060,6.94,7,9,0,33.05,0
U700267,FR,ios,zone_115,27.69,6,9,0,3.11,0
U700268,BE,ios,zone_186,,2,6,1,28.26,1
U700269,FR,web,zone_088,4.17,8,9,1,27.2,1
U700270,FR,android,zone_105,19.14,6,6,0,11.58,0
U700271,FR,ios,zone_094,9.92,8,10,2,25.27,0
U700272,FR,android,zone_024,20.64,13,7,1,16.34,0
U700273,FR,android,zone_017,0.49,6,7,1,16.45,0
U700274,FR,web,zone_093,10.12,7,7,0,10.51,0
U700275,FR,android,zone_133,11.67,9,12,1,12.63,0
U700276,DE,android,zone_170,10.5,9,13,1,11.48,0
U700277,FR,web,zone_111,2.68,11,6,0,15.96,0
U700278,FR,web,zone_062,16.71,9,5,1,20.35,0
U700279,FR,ios,zone_106,4.66,3,17,0,25.27,0
U700280,CH,web,zone_136,17.41,3,7,0,24.49,0
U700281,FR,android,zone_204,3.22,5,4,0,10.24,0
U700282,DE,ios,zone_178,13.18,10,8,0,22.66,0
U700283,ES,web,zone_187,5.63,7,7,1,19.27,0
U700284,FR,android,zone_011,4.63,10,5,0,27.83,0
U700285,IT,web,zone_084,60.74,15,10,0,22.22,0
U700286,BE,android,zone_093,34.5,6,5,1,23.7,0
U700287,FR,android,zone_113,8.49,10,10,2,25.0,0
U700288,FR,web,zone_092,9.01,8,9,0,7.82,0
U700289,CH,android,zone_084,13.51,12,9,0,21.46,0
U700290,FR,web,zone_128,7.71,6,7,0,17.86,0
U700291,BE,web,zone_122,21.85,10,9,1,21.25,0
U700292,FR,android,zone_040,8.14,11,6,1,6.97,0
U700293,FR,web,zone_196,9.6,5,8,1,32.35,0
U700294,BE,web,zone_040,9.74,10,8,1,18.95,0
U700295,FR,ios,zone_122,,11,9,0,28.25,0
U700296,DE,android,zone_118,8.24,10,9,1,7.17,0
U700297,DE,android,zone_207,8.73,8,4,2,20.91,0
U700298,FR,android,zone_037,4.39,10,8,0,27.68,0
U700299,FR,android,zone_184,8.03,5,9,0,23.29,0
U700300,FR,android,zone_067,13.12,7,5,1,27.41,0
U700301,FR,android,zone_065,5.71,10,10,0,25.2,0
U700302,IT,web,zone_118,13.07,8,9,0,12.2,0
U700303,ES,android,zone_108,19.05,7,5,1,25.43,0
U700304,FR,android,zone_065,16.07,7,6,0,21.21,0
U700305,BE,android,zone_095,6.07,8,10,0,15.65,0
U700306,FR,ios,zone_075,22.55,12,8,0,11.86,0
U700307,DE,android,zone_022,26.93,9,11,0,15.81,1
U700308,IT,web,zone_210,19.61,15,15,0,21.01,0
U700309,BE,web,zone_063,2.54,10,14,0,11.23,0
U700310,FR,ios,zone_184,7.19,11,9,0,12.82,0
U700311,FR,web,zone_099,8.39,4,11,1,22.21,0
U700312,BE,android,zone_010,8.71,10,8,2,21.7,0
U700313,CH,ios,zone_183,7.04,11,6,0,13.89,0
U700314,IT,ios,zone_090,11.36,6,9,0,30.04,0
U700315,FR,android,zone_202,3.52,8,6,1,25.04,0
U700316,FR,android,zone_103,13.61,7,14,0,32.96,0
U700317,BE,ios,zone_088,1.94,8,9,0,15.56,0
U700318,BE,ios,zone_186,17.76,6,6,1,31.58,0
U700319,BE,android,zone_014,32.05,9,13,2,7.86,0
U700320,ES,web,zone_015,28.65,9,8,0,39.65,0
U700321,FR,web,zone_195,12.97,11,7,2,19.43,0
U700322,FR,android,zone_036,19.5,11,4,1,10.81,0
U700323,FR,web,zone_132,14.97,7,12,0,6.49,0
U700324,DE,ios,zone_032,6.42,9,4,1,20.14,0
U700325,CH,web,zone_190,9.17,9,13,1,21.55,1
U700326,ES,android,zone_196,,12,7,0,18.73,0
U700327,FR,ios,zone_020,19.55,7,8,1,22.38,0
U700328,FR,ios,zone_137,10.1,8,7,0,25.16,0
U700329,DE,ios,zone_179,40.11,9,9,1,11.6,0
U700330,IT,ios,zone_108,10.47,12,8,0,10.48,0
U700331,FR,android,zone_004,2.81,4,9,0,13.82,0
U700332,FR,android,zone_131,3.03,12,4,0,22.7,0
U700333,FR,android,zone_193,17.09,11,7,1,16.0,0
U700334,FR,android,zone_007,9.1,10,9,0,29.86,0
U700335,DE,ios,zone_212,20.57,12,11,1,19.48,0
U700336,BE,android,zone_015,17.32,16,9,1,22.32,0
U700337,FR,web,zone_141,19.02,8,7,1,3.26,0
U700338,FR,web,zone_109,15.69,14,8,2,13.71,0
U700339,DE,android,zone_116,11.06,5,8,0,22.95,0
U700340,DE,android,zone_190,,10,13,0,17.41,0
U700341,ES,android,zone_133,4.54,7,5,0,8.16,0
U700342,FR,android,zone_109,8.73,6,9,1,24.66,0
U700343,CH,android,zone_167,4.9,7,12,1,14.99,0
U700344,FR,ios,zone_011,11.56,10,6,1,16.98,0
U700345,FR,ios,zone_176,32.93,11,8,1,21.72,0
U700346,FR,web,zone_149,9.82,7,9,0,20.59,0
U700347,FR,android,zone_059,53.82,7,8,0,10.19,0
U700348,IT,ios,zone_086,23.78,10,4,0,19.68,0
U700349,CH,android,zone_054,4.55,10,6,0,19.93,0
U700350,FR,android,zone_035,10.5,5,10,0,11.1,0
U700351,DE,ios,zone_087,22.23,8,14,1,25.48,0
U700352,CH,web,zone_072,9.52,9,8,0,27.53,0
U700353,FR,ios,zone_101,6.48,6,8,1,14.96,0
U700354,FR,android,zone_088,24.07,6,5,0,15.44,1
U700355,ES,ios,zone_064,4.48,9,8,1,29.75,0
U700356,FR,web,zone_098,41.09,9,5,1,18.4,0
U700357,FR,ios,zone_081,25.33,10,11,0,28.66,0
U700358,ES,android,zone_053,22.29,14,7,0,36.68,0
U700359,DE,ios,zone_218,19.51,3,5,0,18.38,0
U700360,DE,android,zone_128,12.13,13,9,0,23.04,0
U700361,BE,android,zone_131,26.1,12,9,2,27.82,0
U700362,DE,web,zone_073,18.54,10,10,0,25.35,0
U700363,ES,ios,zone_109,8.95,6,10,1,11.25,0
U700364,DE,web,zone_197,,11,5,0,14.81,0
U700365,FR,ios,zone_106,3.72,11,13,0,15.89,0
U700366,FR,ios,zone_065,7.82,12,8,0,23.14,0
U700367,IT,web,zone_098,14.39,14,5,1,23.64,0
U700368,ES,ios,zone_105,17.88,4,3,1,19.78,0
U700369,DE,web,zone_001,19.61,7,5,0,23.14,0
U700370,BE,web,zone_042,11.14,7,12,1,19.3,0
U700371,FR,android,zone_029,7.73,10,7,1,18.33,0
U700372,FR,android,zone_135,18.18,14,15,0,9.11,0
U700373,ES,ios,zone_155,11.99,7,9,1,22.87,0
U700374,BE,ios,zone_043,17.73,6,9,0,19.26,0
U700375,FR,android,zone_187,16.17,4,9,0,21.51,0
U700376,CH,android,zone_002,26.8,9,14,0,34.39,0
U700377,FR,android,zone_107,5.56,9,6,1,23.94,0
U700378,DE,ios,zone_064,18.96,13,11,1,16.66,0
U700379,DE,ios,zone_205,4.52,8,10,1,13.04,0
U700380,CH,ios,zone_076,29.18,6,8,1,24.93,0
U700381,FR,web,zone_031,19.07,4,9,1,20.94,0
U700382,ES,ios,zone_102,12.69,13,3,0,28.91,0
U700383,IT,ios,zone_000,,10,14,1,26.92,0
U700384,FR,ios,zone_004,1.79,8,10,0,27.12,0
U700385,DE,android,zone_121,4.26,12,8,1,14.44,0
U700386,FR,ios,zone_217,10.16,10,13,2,28.07,0
U700387,FR,ios,zone_040,11.0,7,6,0,17.05,0
U700388,DE,android,zone_122,5.2,4,5,3,26.79,0
U700389,FR,ios,zone_058,13.39,11,9,0,27.67,0
U700390,FR,android,zone_163,4.95,8,8,1,29.77,0
U700391,FR,android,zone_103,17.77,11,7,0,14.29,0
U700392,BE,android,zone_129,20.04,5,11,3,11.73,0
U700393,BE,ios,zone_042,27.85,9,9,2,12.25,0
U700394,FR,ios,zone_176,10.06,10,4,0,15.93,0
U700395,IT,web,zone_024,9.05,13,7,1,15.39,0
U700396,FR,android,zone_078,8.88,8,6,1,29.79,0
U700397,IT,android,zone_009,15.03,9,6,0,27.88,0
U700398,FR,web,zone_170,14.81,9,7,3,16.08,0
U700399,FR,ios,zone_104,11.71,9,10,1,18.86,0
U700400,FR,ios,zone_216,37.46,15,6,0,31.53,0
U700401,DE,android,zone_201,12.53,8,5,0,15.91,0
U700402,FR,android,zone_107,15.18,18,10,0,21.4,0
U700403,BE,android,zone_158,23.34,10,9,0,10.12,0
U700404,FR,android,zone_159,45.36,9,9,0,19.75,0
U700405,FR,android,zone_131,21.54,10,6,1,23.44,0
U700406,FR,ios,zone_195,15.77,14,4,0,19.2,0
U700407,DE,android,zone_020,36.87,13,4,0,24.43,0
U700408,BE,web,zone_059,9.63,13,8,1,15.76,0
U700409,FR,android,zone_134,2.92,8,11,0,20.93,0
U700410,FR,ios,zone_033,12.49,11,2,1,23.91,0
U700411,IT,android,zone_137,9.24,11,8,1,17.93,1
U700412,ES,android,zone_173,19.36,6,9,0,25.06,0
U700413,ES,ios,zone_016,6.01,10,7,1,16.96,0
U700414,DE,ios,zone_088,14.96,3,9,0,31.67,0
U700415,IT,web,zone_155,9.61,7,8,0,19.09,0
U700416,FR,web,zone_197,5.67,12,7,0,8.54,0
U700417,IT,android,zone_113,25.22,5,6,1,26.09,0
U700418,DE,ios,zone_083,17.78,3,7,2,25.24,0
U700419,DE,android,zone_218,18.48,13,4,1,27.55,0
U700420,BE,android,zone_166,17.41,5,10,0,19.05,1
U700421,FR,ios,zone_031,24.47,9,5,1,23.62,0
U700422,CH,web,zone_072,10.46,6,10,0,19.9,0
U700423,ES,android,zone_025,18.86,6,12,2,15.53,0
U700424,FR,web,zone_107,8.14,10,6,2,10.29,0
U700425,DE,web,zone_147,10.77,8,6,0,25.88,0
U700426,ES,android,zone_211,4.44,9,2,1,15.75,0
U700427,FR,android,zone_134,31.77,6,18,0,23.01,0
U700428,FR,ios,zone_184,27.53,14,7,0,18.09,0
U700429,CH,ios,zone_059,43.66,3,9,3,27.85,0
U700430,FR,ios,zone_126,6.24,8,7,0,15.38,0
U700431,CH,ios,zone_124,20.04,7,7,1,24.47,0
U700432,FR,ios,zone_033,2.86,11,5,0,17.31,0
U700433,ES,ios,zone_216,11.08,10,8,1,28.78,0
U700434,IT,web,zone_130,7.48,10,8,0,13.13,0
U700435,IT,android,zone_037,38.47,12,6,1,30.88,0
U700436,BE,ios,zone_200,6.62,15,7,2,14.28,0
U700437,IT,ios,zone_134,13.91,10,12,0,22.3,0
U700438,FR,android,zone_091,8.0,15,4,1,18.8,0
U700439,IT,ios,zone_024,11.2,12,10,0,10.23,0
U700440,FR,web,zone_205,9.01,7,4,1,0.0,0
U700441,DE,web,zone_174,16.37,8,6,0,16.57,0
U700442,BE,android,zone_174,5.15,7,7,0,8.22,0
U700443,ES,ios,zone_113,35.89,4,12,2,8.65,0
U700444,BE,web,zone_109,19.45,9,6,1,35.07,0
U700445,DE,ios,zone_033,10.58,12,9,1,19.71,0
U700446,DE,android,zone_178,10.51,15,11,0,7.93,0
U700447,FR,ios,zone_066,24.74,5,8,0,24.4,0
U700448,FR,android,zone_087,13.67,3,6,1,25.48,0
U700449,FR,ios,zone_177,18.55,10,5,0,17.74,0
U700450,FR,android,zone_125,9.32,4,9,2,21.23,0
U700451,FR,android,zone_093,22.78,7,7,2,21.37,1
U700452,IT,android,zone_100,15.58,8,8,0,30.97,0
U700453,DE,android,zone_209,7.05,8,6,1,20.27,0
U700454,FR,ios,zone_184,15.92,6,6,0,14.64,0
U700455,FR,ios,zone_110,27.53,7,10,1,6.67,0
U700456,FR,android,zone_100,10.8,8,3,0,21.89,0
U700457,FR,android,zone_116,17.68,9,12,0,20.2,0
