tx_id,amount,merchant,payment_method,country,hour,is_first_time_merchant,device_trust_score,is_fraud
F900171,52.91,m_157,card_not_present,IT,4,0,0.542,0
F900172,7.35,m_161,card_not_present,FR,2,0,0.903,0
F900173,52.52,m_038,wallet,CH,15,0,0.811,0
F900174,23.93,m_154,card_present,FR,9,0,0.882,0
F900175,95.1,m_093,card_present,FR,20,1,0.677,0
F900176,26.07,m_038,wallet,FR,23,0,0.397,0
F900177,136.82,m_168,card_not_present,DE,16,1,0.69,0
F900178,56.59,m_120,card_not_present,ES,14,0,0.987,0
F900179,42.82,m_166,card_not_present,FR,22,1,0.81,0
F900180,32.56,m_167,card_not_present,IT,19,0,0.748,0
F900181,186.22,m_057,card_present,FR,6,0,0.698,0
F900182,25.4,m_059,card_not_present,IT,10,0,0.87,0
F900183,108.57,m_054,card_present,FR,13,1,0.718,0
F900184,18.3,m_153,card_present,ES,15,0,0.734,0
F900185,55.76,m_021,card_not_present,ES,11,0,0.845,0
F900186,52.63,m_094,card_not_present,FR,2,0,0.557,1
F900187,65.59,m_054,card_not_present,FR,3,0,0.811,0
F900188,35.59,m_097,card_present,IT,18,0,0.766,0
F900189,23.28,m_086,card_not_present,FR,4,0,0.452,0
F900190,14.28,m_146,card_present,DE,6,0,0.606,0
F900191,26.86,m_131,card_present,IT,21,0,0.94,0
F900192,53.56,m_015,card_not_present,FR,1,0,1.0,0
F900193,,m_068,wallet,DE,20,0,0.173,0
F900194,75.05,m_147,wallet,FR,2,0,0.736,0
F900195,13.43,m_022,card_not_present,DE,23,1,0.939,0
F900196,17.92,m_105,card_not_present,ES,0,0,0.657,0
F900197,50.3,m_056,card_not_present,FR,0,0,0.616,0
F900198,6.68,m_090,card_present,IT,4,1,0.755,0
F900199,81.57,m_041,bank_transfer,FR,22,0,0.698,0
F900200,73.88,m_019,wallet,FR,20,0,0.776,0
F900201,15.63,m_054,card_not_present,FR,7,1,0.752,0
F900202,75.09,m_094,wallet,FR,9,0,1.0,0
F900203,230.65,m_085,card_present,FR,20,0,0.285,0
F900204,9.41,m_165,card_present,DE,19,1,0.996,0
F900205,9.41,m_098,card_present,ES,15,0,1.0,0
F900206,106.97,m_062,card_not_present,DE,9,0,0.762,0
F900207,23.48,m_131,card_present,BE,3,0,0.301,0
F900208,49.85,m_159,card_not_present,FR,19,0,0.64,0
F900209,50.15,m_001,bank_transfer,BE,2,1,0.548,0
F900210,58.53,m_019,card_present,FR,15,0,0.517,0
F900211,18.17,m_084,wallet,FR,8,1,0.689,0
F900212,14.01,m_104,card_present,BE,8,0,0.676,0
F900213,25.18,m_049,card_present,ES,3,0,0.645,0
F900214,13.61,m_143,card_not_present,IT,20,0,0.567,0
F900215,9.48,m_131,card_present,ES,4,0,0.823,1
F900216,,m_171,card_not_present,FR,17,0,0.465,0
F900217,48.33,m_070,wallet,IT,11,0,0.529,0
F900218,24.99,m_039,wallet,IT,10,1,1.0,0
F900219,5.08,m_164,card_not_present,FR,14,0,0.835,0
F900220,31.53,m_113,card_not_present,FR,15,0,0.78,0
F900221,8.73,m_106,card_not_present,CH,1,0,0.779,0
F900222,58.86,m_095,wallet,CH,6,1,0.586,1
F900223,6.98,m_021,card_not_present,ES,8,1,0.769,0
F900224,51.37,m_062,card_present,FR,2,0,0.909,0
F900225,96.89,m_169,card_not_present,ES,23,0,0.4,0
F900226,9.56,m_128,card_not_present,FR,17,0,0.602,0
F900227,112.44,m_145,card_not_present,ES,21,0,1.0,1
F900228,118.57,m_166,bank_transfer,ES,15,0,0.717,0
F900229,77.36,m_009,card_not_present,DE,6,0,0.681,0
F900230,8.28,m_026,card_present,FR,3,0,0.933,0
F900231,,m_066,card_not_present,BE,17,1,0.534,0
F900232,48.02,m_155,wallet,,9,0,0.548,0
F900233,27.99,m_089,card_not_present,FR,8,0,0.466,0
F900234,64.25,m_015,card_present,FR,17,0,0.839,0
F900235,144.66,m_176,card_not_present,FR,9,0,0.648,0
F900236,35.21,m_148,card_not_present,,14,0,0.744,0
F900237,63.83,m_094,bank_transfer,FR,12,0,0.425,0
F900238,124.9,m_115,card_present,DE,21,0,0.857,0
F900239,99.56,m_130,card_not_present,FR,13,1,0.64,0
F900240,80.19,m_097,card_not_present,FR,11,0,0.381,0
F900241,18.13,m_160,card_not_present,FR,2,0,0.873,1
F900242,24.11,m_108,card_not_present,DE,23,0,0.826,0
F900243,285.48,m_145,card_present,FR,5,0,0.905,0
F900244,56.99,m_018,card_not_present,FR,12,0,1.0,0
F900245,2.95,m_155,card_present,FR,16,0,0.602,0
F900246,57.01,m_160,card_not_present,FR,18,0,0.629,0
F900247,25.37,m_107,card_not_present,IT,0,1,0.859,0
F900248,49.05,m_041,card_not_present,ES,7,1,0.869,0
F900249,50.31,m_163,card_not_present,FR,21,1,0.707,0
F900250,49.63,m_120,card_not_present,CH,9,0,0.672,0
F900251,24.19,m_159,card_present,FR,23,0,0.577,0
F900252,93.92,m_066,card_present,DE,18,0,0.812,0
F900253,41.84,m_023,card_present,FR,1,0,0.94,0
F900254,19.44,m_101,card_not_present,FR,1,0,0.821,0
F900255,54.2,m_170,card_not_present,FR,9,0,0.914,0
F900256,9.33,m_125,card_not_present,FR,4,1,0.66,0
F900257,9.5,m_071,card_not_present,FR,8,0,0.596,0
F900258,,m_149,card_present,FR,19,1,0.677,0
F900259,23.79,m_012,card_not_present,BE,0,0,0.601,0
F900260,59.1,m_109,card_not_present,FR,17,0,0.861,0
F900261,98.97,m_139,card_present,FR,10,0,0.709,0
F900262,34.39,m_133,wallet,FR,19,1,0.862,0
F900263,9.64,m_116,card_not_present,FR,22,0,1.0,0
F900264,42.12,m_058,card_not_present,FR,11,0,0.731,0
F900265,117.43,m_166,card_present,FR,5,0,0.494,0
F900266,,m_148,card_not_present,FR,14,0,1.0,0
F900267,53.06,m_162,card_present,FR,19,0,0.516,0
F900268,4.59,m_058,card_not_present,IT,17,0,0.781,0
F900269,38.96,m_068,card_not_present,IT,17,0,0.917,0
F900270,17.89,m_129,card_present,FR,1,0,0.694,0
F900271,15.99,m_167,card_present,DE,8,0,0.553,0
F900272,41.15,m_150,card_present,ES,17,0,0.634,0
F900273,41.78,m_106,card_not_present,FR,22,0,0.814,1
F900274,68.24,m_151,card_not_present,FR,14,0,0.801,0
F900275,119.68,m_076,card_not_present,FR,23,0,0.719,0
F900276,24.94,m_154,card_not_present,FR,18,0,0.749,0
F900277,56.16,m_059,card_present,ES,3,0,1.0,0
F900278,14.35,m_124,bank_transfer,ES,4,0,0.648,0
F900279,19.76,m_078,card_not_present,FR,22,0,0.666,0
F900280,64.34,m_148,card_not_present,CH,20,0,0.601,0
F900281,42.97,m_041,card_present,FR,3,0,0.677,0
F900282,38.21,m_117,card_not_present,DE,13,0,0.811,0
F900283,210.73,m_019,card_present,,9,0,0.897,0
F900284,6.57,m_087,card_not_present,BE,20,0,0.686,0
F900285,140.34,m_016,card_present,DE,17,0,0.754,0
F900286,41.75,m_026,card_present,FR,9,1,0.77,0
F900287,455.46,m_004,card_present,FR,10,1,0.298,0
F900288,107.04,m_047,card_present,DE,10,0,0.456,0
F900289,11.02,m_034,card_not_present,DE,1,0,1.0,0
F900290,127.42,m_056,card_present,ES,2,0,0.38,0
F900291,67.61,m_148,card_present,CH,12,0,0.574,0
F900292,162.77,m_152,card_present,FR,3,0,0.716,0
F900293,104.57,m_132,card_present,,3,0,0.629,0
F900294,54.13,m_178,card_not_present,FR,20,1,0.581,1
F900295,26.93,m_086,card_not_present,FR,3,0,0.926,0
F900296,13.99,m_027,card_present,DE,12,0,0.571,0
F900297,200.16,m_004,wallet,FR,6,1,0.776,0
F900298,27.89,m_067,card_present,FR,19,0,0.675,0
F900299,41.2,m_160,card_not_present,DE,14,0,0.85,0
F900300,10.14,m_054,card_present,ES,10,1,0.733,0
F900301,104.79,m_092,card_not_present,FR,5,0,0.867,0
F900302,28.54,m_047,card_not_present,DE,20,0,0.809,0
F900303,,m_065,card_present,FR,9,1,0.806,0
F900304,34.34,m_040,card_not_present,CH,6,0,0.708,0
F900305,19.64,m_038,card_present,IT,15,0,0.568,0
F900306,136.56,m_072,card_present,ES,6,1,1.0,0
F900307,70.99,m_003,card_present,FR,5,0,0.751,0
F900308,95.87,m_069,card_present,FR,9,0,0.513,1
F900309,60.9,m_103,card_not_present,DE,14,0,0.83,0
F900310,28.59,m_129,card_present,FR,6,1,0.42,1
F900311,13.22,m_010,card_not_present,FR,14,0,0.722,0
F900312,8.63,m_133,card_not_present,DE,17,0,0.648,1
F900313,18.59,m_165,card_present,BE,1,0,0.878,0
F900314,33.75,m_143,card_not_present,FR,22,1,0.645,0
F900315,99.95,m_140,card_not_present,FR,21,0,0.704,0
F900316,32.75,m_115,card_present,FR,8,0,0.893,0
F900317,50.29,m_111,card_not_present,,7,0,0.812,0
F900318,55.03,m_023,wallet,ES,22,1,0.557,0
F900319,16.26,m_101,card_not_present,FR,12,1,0.603,0
F900320,70.62,m_143,card_present,ES,2,1,0.796,0
F900321,5.83,m_011,card_not_present,BE,10,0,0.733,0
F900322,34.68,m_151,card_not_present,FR,18,0,0.504,1
F900323,13.73,m_154,card_present,FR,21,1,0.671,0
F900324,473.48,m_030,card_present,FR,4,0,0.777,0
F900325,62.38,m_114,bank_transfer,FR,19,0,0.774,0
F900326,75.86,m_020,card_not_present,FR,10,0,0.606,0
F900327,118.16,m_051,card_not_present,FR,21,0,0.695,0
F900328,24.61,m_092,card_present,FR,11,1,0.847,0
F900329,103.55,m_097,card_present,DE,8,0,0.835,0
F900330,112.05,m_062,card_present,FR,2,0,0.887,0
F900331,115.16,m_030,bank_transfer,BE,8,0,0.743,0
F900332,25.89,m_078,card_present,BE,4,1,0.626,0
F900333,67.33,m_075,card_not_present,ES,11,0,0.673,0
F900334,51.62,m_092,card_present,FR,0,0,0.795,1
F900335,14.47,m_177,card_present,FR,10,0,0.549,0
F900336,35.1,m_080,card_present,CH,6,0,0.963,0
F900337,41.5,m_086,card_not_present,DE,22,0,0.55,0
F900338,134.8,m_011,card_not_present,FR,22,1,0.609,0
F900339,,m_013,wallet,FR,14,0,0.66,0
F900340,37.43,m_063,card_present,ES,1,0,0.134,0
F900341,59.2,m_006,card_present,IT,1,1,0.569,0
F900342,23.73,m_060,card_present,FR,11,0,0.71,0
F900343,40.3,m_001,card_present,FR,8,1,0.618,0
F900344,33.47,m_088,card_present,IT,5,0,0.599,0
F900345,40.36,m_147,card_not_present,BE,17,0,0.851,0
F900346,107.58,m_032,card_not_present,FR,10,1,0.633,0
F900347,15.48,m_063,card_present,IT,6,0,0.711,1
F900348,131.58,m_156,card_not_present,FR,3,0,0.499,0
F900349,46.19,m_007,card_not_present,BE,9,1,0.899,0
F900350,36.13,m_150,wallet,BE,12,0,0.892,0
F900351,30.89,m_006,wallet,FR,18,0,0.858,0
F900352,8.97,m_095,wallet,CH,13,0,0.382,0
F900353,12.11,m_123,card_not_present,DE,12,0,0.677,0
F900354,7.99,m_178,card_not_present,BE,1,1,0.837,0
F900355,65.57,m_060,wallet,IT,14,0,0.772,0
F900356,54.28,m_110,card_present,IT,11,1,0.606,0
F900357,55.67,m_033,card_present,,14,0,0.714,0
F900358,41.8,m_123,card_not_present,FR,13,0,0.91,0
F900359,81.68,m_107,card_not_present,IT,0,0,0.738,0
F900360,27.7,m_091,card_present,FR,22,0,0.953,0
F900361,98.02,m_081,wallet,FR,9,0,0.497,0
F900362,26.09,m_057,card_not_present,DE,15,0,0.629,0
F900363,49.02,m_018,bank_transfer,FR,5,0,0.83,0
F900364,1.56,m_018,card_present,FR,9,0,0.813,0
F900365,63.26,m_106,wallet,FR,0,0,0.821,0
F900366,18.57,m_024,card_present,IT,13,0,0.882,0
F900367,39.49,m_146,wallet,BE,23,0,0.765,0
F900368,67.0,m_098,card_present,ES,13,0,0.541,0
F900369,191.55,m_026,card_present,FR,1,0,0.731,0
F900370,2.84,m_173,wallet,ES,17,0,0.713,0
F900371,119.08,m_143,card_present,FR,21,0,0.575,0
F900372,104.0,m_129,wallet,FR,7,0,0.706,0
F900373,,m_139,card_present,IT,6,0,0.394,0
F900374,27.44,m_069,card_present,FR,17,0,0.427,1
F900375,25.03,m_029,card_not_present,CH,7,0,0.606,0
F900376,44.02,m_138,wallet,CH,0,0,0.924,0
F900377,25.76,m_175,card_not_present,FR,20,0,0.7,0
F900378,26.19,m_006,card_present,FR,0,0,0.924,1
F900379,17.86,m_015,card_not_present,BE,23,0,0.328,0
F900380,107.63,m_062,card_present,FR,11,0,0.772,0
F900381,156.93,m_006,card_not_present,DE,14,0,1.0,0
F900382,29.67,m_001,wallet,BE,0,0,0.81,0
F900383,10.78,m_027,card_not_present,FR,14,0,0.561,0
F900384,12.54,m_091,card_not_present,FR,0,0,0.887,0
F900385,38.9,m_006,card_present,FR,5,0,0.794,0
F900386,106.9,m_136,card_not_present,FR,0,0,0.546,0
F900387,8.9,m_149,card_not_present,FR,7,0,0.88,0
F900388,12.51,m_176,bank_transfer,FR,0,0,0.874,0
F900389,84.7,m_078,bank_transfer,DE,17,1,0.846,0
F900390,11.56,m_058,wallet,FR,0,0,0.96,0
F900391,45.14,m_044,card_not_present,FR,13,0,0.758,0
F900392,187.32,m_059,card_not_present,FR,9,1,0.828,0
F900393,63.56,m_135,card_present,FR,23,0,0.653,0
F900394,22.93,m_127,wallet,FR,18,0,0.944,0
F900395,24.88,m_123,card_not_present,FR,13,1,0.556,0
F900396,171.88,m_049,wallet,ES,1,0,0.929,0
F900397,5.05,m_117,card_not_present,FR,0,0,1.0,0
F900398,3.84,m_061,bank_transfer,FR,17,0,0.991,0
F900399,78.79,m_165,card_present,DE,19,0,0.591,0
F900400,59.59,m_103,card_not_present,FR,21,0,0.556,0
F900401,82.08,m_179,bank_transfer,FR,10,0,0.35,0
F900402,136.95,m_090,card_not_present,ES,17,0,0.628,0
F900403,6.97,m_072,bank_transfer,FR,12,1,0.79,0
F900404,327.52,m_141,card_present,FR,20,0,0.68,0
F900405,169.05,m_156,card_present,FR,23,0,0.777,0
F900406,38.15,m_174,card_present,FR,0,0,0.804,0
F900407,125.09,m_101,card_present,FR,8,0,0.647,0
F900408,69.83,m_081,card_not_present,FR,12,0,0.797,0
F900409,17.09,m_151,card_present,BE,10,0,1.0,0
F900410,53.3,m_150,bank_transfer,IT,0,0,1.0,0
F900411,7.65,m_114,card_not_present,BE,6,0,1.0,0
F900412,49.67,m_117,card_not_present,FR,18,0,0.838,0
F900413,35.01,m_108,card_present,FR,9,1,0.799,0
F900414,69.72,m_031,bank_transfer,FR,10,0,0.839,0
F900415,42.99,m_145,card_not_present,CH,0,0,0.809,0
F900416,57.43,m_051,wallet,BE,21,0,0.705,0
F900417,17.81,m_023,wallet,FR,21,0,0.645,0
F900418,25.25,m_179,card_not_present,,9,0,0.618,0
F900419,211.25,m_135,card_present,FR,19,0,1.0,0
F900420,24.95,m_171,card_present,ES,22,0,0.459,0
F900421,106.38,m_123,card_not_present,FR,7,0,0.804,0
F900422,12.07,m_005,card_present,CH,22,0,0.72,0
F900423,41.54,m_166,card_not_present,CH,19,0,0.522,0
F900424,65.23,m_127,card_not_present,ES,19,1,0.63,0
F900425,7.88,m_039,card_present,FR,15,0,0.771,0
F900426,110.43,m_042,card_present,FR,23,0,0.788,0
F900427,44.68,m_068,wallet,FR,3,0,0.83,0
F900428,93.36,m_109,card_not_present,FR,4,1,0.728,0
F900429,32.71,m_151,bank_transfer,FR,11,0,0.842,0
F900430,125.32,m_060,card_not_present,FR,9,0,0.755,0
F900431,11.53,m_059,card_not_present,FR,22,0,0.721,0
F900432,29.02,m_177,card_not_present,BE,22,1,0.632,0
F900433,81.58,m_080,wallet,CH,12,0,0.98,0
F900434,70.43,m_065,card_present,DE,19,0,0.602,0
F900435,439.06,m_098,card_not_present,FR,0,0,0.662,0
F900436,30.41,m_153,card_not_present,BE,17,0,0.916,0
F900437,243.69,m_067,card_not_present,FR,19,0,0.752,0
F900438,47.17,m_080,card_present,FR,10,0,0.492,0
F900439,32.22,m_170,card_not_present,DE,19,1,0.622,0
F900440,45.37,m_075,card_not_present,CH,7,0,0.828,0
F900441,17.34,m_049,card_present,FR,14,0,0.681,0
F900442,56.83,m_105,card_not_present,IT,5,0,0.781,1
F900443,50.13,m_030,bank_transfer,FR,17,0,0.936,0
F900444,83.12,m_067,card_not_present,FR,12,0,0.85,0
F900445,33.05,m_179,card_present,FR,22,0,0.768,0
F900446,84.83,m_007,card_present,BE,1,0,0.975,0
F900447,4.69,m_179,bank_transfer,CH,16,1,0.819,0
F900448,166.14,m_116,card_not_present,DE,8,0,0.415,0
F900449,15.57,m_021,card_not_present,FR,6,1,1.0,0
F900450,40.81,m_023,card_not_present,FR,12,0,0.743,0
F900451,34.8,m_043,card_present,DE,22,1,0.677,1
F900452,55.73,m_138,card_not_present,CH,9,0,0.87,0
F900453,58.78,m_145,card_present,FR,20,0,0.774,0
F900454,7.63,m_135,card_not_present,FR,20,0,0.528,1
F900455,23.87,m_151,card_present,FR,9,1,0.763,0
F900456,82.94,m_178,card_present,ES,11,0,0.491,0
F900457,31.5,m_104,bank_transfer,IT,9,0,0.568,0
F900458,111.18,m_174,card_not_present,FR,22,0,0.764,0
F900459,29.15,m_047,card_not_present,FR,11,0,0.569,0
F900460,40.32,m_029,card_not_present,CH,11,0,0.686,0
F900461,24.24,m_164,card_not_present,FR,19,0,0.557,0
F900462,18.18,m_121,card_present,FR,3,0,0.346,0
